#Theta,Phi,Pol,Theta,Phi,Mag
-0.30543,0.69813,0.00000,2.41884,-2.43794,0.44683
-0.30543,0.78540,0.00000,2.17161,-2.39429,0.37479
-0.30543,0.87266,0.00000,2.02358,-2.41107,0.37952
-0.30543,0.95993,0.00000,2.01031,-2.40411,0.40066
-0.30543,1.04720,0.00000,2.06408,-2.38440,0.42708
-0.30543,1.13446,0.00000,2.12917,-2.35752,0.45277
-0.30543,1.22173,0.00000,2.18618,-2.32067,0.47184
-0.30543,1.30900,0.00000,2.23548,-2.28717,0.48922
-0.30543,1.39626,0.00000,2.28060,-2.25804,0.50560
-0.30543,1.48353,0.00000,2.32111,-2.22972,0.51862
-0.30543,1.57080,0.00000,2.35739,-2.20173,0.52769
-0.30543,-1.48353,1.57080,1.41910,2.14868,0.35646
-0.30543,-1.39626,1.57080,1.42107,2.12215,0.34773
-0.30543,-1.30900,1.57080,1.47199,2.09193,0.33442
-0.30543,-1.22173,1.57080,1.57958,2.05739,0.31869
-0.30543,-1.13446,1.57080,1.74414,2.02025,0.30650
-0.30543,-1.04720,1.57080,1.91040,2.00934,0.30422
-0.30543,-0.95993,1.57080,2.08014,1.99073,0.30814
-0.30543,-0.87266,1.57080,2.24213,1.96915,0.31918
-0.30543,-0.78540,1.57080,2.32162,2.05284,0.33082
-0.30543,-0.69813,1.57080,2.50015,1.96193,0.35599
-0.30543,-0.61087,1.57080,2.50501,2.14033,0.35676
-0.30543,-0.52360,1.57080,2.75485,1.50791,0.41081
-0.30543,-0.43633,1.57080,2.76647,1.86126,0.36227
-0.30543,-0.34907,1.57080,2.58595,0.38453,0.51684
-0.30543,-0.26180,1.57080,2.58771,0.32448,0.46379
-0.30543,-0.17453,1.57080,2.59851,0.23546,0.43343
-0.30543,-0.08727,1.57080,2.60848,0.12414,0.41709
-0.30543,0.00000,1.57080,2.61243,0.00000,0.41190
-0.30543,0.08727,1.57080,2.60847,-0.12414,0.41708
-0.30543,0.17453,1.57080,2.59850,-0.23547,0.43341
-0.30543,0.26180,1.57080,2.58771,-0.32450,0.46376
-0.30543,0.34907,1.57080,2.58595,-0.38456,0.51681
-0.30543,0.43633,1.57080,2.76646,-1.86143,0.36225
-0.30543,0.52360,1.57080,2.75483,-1.50849,0.41077
-0.30543,0.61087,1.57080,2.50478,-2.14057,0.35670
-0.30543,0.69813,1.57080,2.50008,-1.96195,0.35596
-0.30543,0.78540,1.57080,2.32144,-2.05310,0.33081
-0.30543,0.87266,1.57080,2.24191,-1.96949,0.31917
-0.30543,0.95993,1.57080,2.08010,-1.99079,0.30814
-0.30543,1.04720,1.57080,1.91050,-2.00931,0.30422
-0.30543,1.13446,1.57080,1.74428,-2.02028,0.30651
-0.30543,1.22173,1.57080,1.57972,-2.05742,0.31870
-0.30543,1.30900,1.57080,1.47209,-2.09193,0.33441
-0.30543,1.39626,1.57080,1.42113,-2.12218,0.34774
-0.30543,1.48353,1.57080,1.41919,-2.14875,0.35647
-0.30543,1.57080,1.57080,1.45530,-2.17088,0.36112
-0.26180,-1.48353,0.00000,2.38323,2.29962,0.50294
-0.26180,-1.39626,0.00000,2.34941,2.32995,0.49350
-0.26180,-1.30900,0.00000,2.31212,2.36229,0.48148
-0.26180,-1.22173,0.00000,2.27076,2.39532,0.46657
-0.26180,-1.13446,0.00000,2.22502,2.42867,0.44902
-0.26180,-1.04720,0.00000,2.17455,2.46173,0.42893
-0.26180,-0.95993,0.00000,2.12319,2.48776,0.40421
-0.26180,-0.87266,0.00000,2.08750,2.49912,0.37450
-0.26180,-0.78540,0.00000,2.10834,2.49973,0.34916
-0.26180,-0.69813,0.00000,2.23689,2.50199,0.34697
-0.26180,-0.61087,0.00000,2.42485,2.52403,0.38145
-0.26180,-0.52360,0.00000,2.56603,2.58184,0.43745
-0.26180,-0.43633,0.00000,2.65427,2.66526,0.49779
-0.26180,-0.34907,0.00000,2.69469,2.76980,0.55187
-0.26180,-0.26180,0.00000,2.69645,2.87788,0.58619
-0.26180,-0.17453,0.00000,2.68774,2.97251,0.60019
-0.26180,-0.08727,0.00000,2.68678,3.05766,0.60430
-0.26180,0.00000,0.00000,2.68849,-3.14159,0.60529
-0.26180,0.08727,0.00000,2.68680,-3.05766,0.60430
-0.26180,0.17453,0.00000,2.68781,-2.97249,0.60019
-0.26180,0.26180,0.00000,2.69652,-2.87783,0.58616
-0.26180,0.34907,0.00000,2.69479,-2.76970,0.55183
-0.26180,0.43633,0.00000,2.65432,-2.66514,0.49773
-0.26180,0.52360,0.00000,2.56602,-2.58175,0.43738
-0.26180,0.61087,0.00000,2.42471,-2.52406,0.38140
-0.26180,0.69813,0.00000,2.23669,-2.50212,0.34698
-0.26180,0.78540,0.00000,2.10814,-2.49988,0.34920
-0.26180,0.87266,0.00000,2.08733,-2.49928,0.37455
-0.26180,0.95993,0.00000,2.12302,-2.48797,0.40428
-0.26180,1.04720,0.00000,2.17446,-2.46192,0.42901
-0.26180,1.13446,0.00000,2.22498,-2.42878,0.44906
-0.26180,1.22173,0.00000,2.27077,-2.39530,0.46657
-0.26180,1.30900,0.00000,2.31212,-2.36221,0.48144
-0.26180,1.39626,0.00000,2.34938,-2.32986,0.49344
-0.26180,1.48353,0.00000,2.38317,-2.29960,0.50290
-0.26180,1.57080,0.00000,2.41453,-2.27127,0.50981
-0.26180,-1.48353,1.57080,1.44450,2.27241,0.33849
-0.26180,-1.39626,1.57080,1.44360,2.24551,0.32765
-0.26180,-1.30900,1.57080,1.48694,2.21670,0.31310
-0.26180,-1.22173,1.57080,1.57349,2.19245,0.29821
-0.26180,-1.13446,1.57080,1.69409,2.17579,0.28619
-0.26180,-1.04720,1.57080,1.84188,2.16159,0.27857
-0.26180,-0.95993,1.57080,1.99302,2.15809,0.27724
-0.26180,-0.87266,1.57080,2.11517,2.18141,0.28068
-0.26180,-0.78540,1.57080,2.22922,2.20939,0.28609
-0.26180,-0.69813,1.57080,2.35384,2.22306,0.29387
-0.26180,-0.61087,1.57080,2.43568,2.27887,0.30096
-0.26180,-0.52360,1.57080,2.46838,2.39234,0.30627
-0.26180,-0.43633,1.57080,2.54331,2.46460,0.31377
-0.26180,-0.34907,1.57080,2.67452,2.46920,0.32149
-0.26180,-0.26180,1.57080,2.77000,2.51836,0.32367
-0.26180,-0.17453,1.57080,2.80224,2.69249,0.31995
-0.26180,-0.08727,1.57080,2.79867,2.92095,0.31647
-0.26180,0.00000,1.57080,2.79338,-3.14159,0.31543
-0.26180,0.08727,1.57080,2.79866,-2.92095,0.31646
-0.26180,0.17453,1.57080,2.80222,-2.69250,0.31994
-0.26180,0.26180,1.57080,2.76998,-2.51836,0.32365
-0.26180,0.34907,1.57080,2.67449,-2.46924,0.32149
-0.26180,0.43633,1.57080,2.54323,-2.46467,0.31376
-0.26180,0.52360,1.57080,2.46821,-2.39252,0.30626
-0.26180,0.61087,1.57080,2.43548,-2.27917,0.30095
-0.26180,0.69813,1.57080,2.35368,-2.22329,0.29388
-0.26180,0.78540,1.57080,2.22916,-2.20950,0.28610
-0.26180,0.87266,1.57080,2.11523,-2.18141,0.28069
-0.26180,0.95993,1.57080,1.99312,-2.15809,0.27725
-0.26180,1.04720,1.57080,1.84199,-2.16161,0.27857
-0.26180,1.13446,1.57080,1.69422,-2.17576,0.28619
-0.26180,1.22173,1.57080,1.57361,-2.19242,0.29820
-0.26180,1.30900,1.57080,1.48703,-2.21675,0.31311
-0.26180,1.39626,1.57080,1.44370,-2.24563,0.32768
-0.26180,1.48353,1.57080,1.44461,-2.27255,0.33853
-0.26180,1.57080,1.57080,1.48372,-2.29752,0.34570
-0.21817,-1.48353,0.00000,2.44332,2.38726,0.49003
-0.21817,-1.39626,0.00000,2.41442,2.41548,0.48276
-0.21817,-1.30900,0.00000,2.38345,2.44586,0.47362
-0.21817,-1.22173,0.00000,2.34977,2.47776,0.46231
-0.21817,-1.13446,0.00000,2.31307,2.50978,0.44826
-0.21817,-1.04720,0.00000,2.27359,2.54057,0.43107
-0.21817,-0.95993,0.00000,2.23258,2.56974,0.41102
-0.21817,-0.87266,0.00000,2.19395,2.59651,0.38876
-0.21817,-0.78540,0.00000,2.16732,2.61886,0.36486
-0.21817,-0.69813,0.00000,2.16883,2.63522,0.34097
-0.21817,-0.61087,0.00000,2.21557,2.64875,0.32184
-0.21817,-0.52360,0.00000,2.31162,2.66828,0.31486
-0.21817,-0.43633,0.00000,2.43421,2.70456,0.32500
-0.21817,-0.34907,0.00000,2.54604,2.76382,0.34925
-0.21817,-0.26180,0.00000,2.62593,2.84427,0.37826
-0.21817,-0.17453,0.00000,2.67412,2.93850,0.40318
-0.21817,-0.08727,0.00000,2.69867,3.03907,0.41920
-0.21817,0.00000,0.00000,2.70607,-3.14159,0.42464
-0.21817,0.08727,0.00000,2.69866,-3.03907,0.41919
-0.21817,0.17453,0.00000,2.67409,-2.93851,0.40317
-0.21817,0.26180,0.00000,2.62588,-2.84429,0.37824
-0.21817,0.34907,0.00000,2.54593,-2.76387,0.34924
-0.21817,0.43633,0.00000,2.43406,-2.70464,0.32500
-0.21817,0.52360,0.00000,2.31146,-2.66840,0.31489
-0.21817,0.61087,0.00000,2.21541,-2.64888,0.32187
-0.21817,0.69813,0.00000,2.16870,-2.63538,0.34103
-0.21817,0.78540,0.00000,2.16721,-2.61902,0.36494
-0.21817,0.87266,0.00000,2.19386,-2.59666,0.38883
-0.21817,0.95993,0.00000,2.23251,-2.56984,0.41105
-0.21817,1.04720,0.00000,2.27356,-2.54059,0.43107
-0.21817,1.13446,0.00000,2.31307,-2.50971,0.44822
-0.21817,1.22173,0.00000,2.34978,-2.47769,0.46225
-0.21817,1.30900,0.00000,2.38343,-2.44578,0.47356
-0.21817,1.39626,0.00000,2.41436,-2.41544,0.48271
-0.21817,1.48353,0.00000,2.44327,-2.38722,0.48998
-0.21817,1.57080,0.00000,2.47066,-2.36115,0.49530
